 MetaGene Prediction Results

# Chromosome dna:chromosome chromosome:ASM73042v1:Chromosome:1:6064456:1 REF
# gc = 0.601338
# bacteria
422	2314	+	0	248.536	complete
2359	3330	-	0	148.047	complete
3359	4117	-	0	104.308	complete
4150	5598	-	0	227.851	complete
5601	6668	-	0	151.058	complete
6824	7711	-	0	116.434	complete
8063	10420	+	0	294.032	complete
10472	11104	+	0	76.4769	complete
11227	11817	+	0	63.5758	complete
11965	12480	+	0	51.4093	complete
12477	13436	+	0	107.874	complete
13519	15939	+	0	379.327	complete
16230	17636	-	0	228.531	complete
17636	18457	-	0	130.008	complete
18454	19851	-	0	223.756	complete
19851	20954	-	0	120.158	complete
20945	22159	-	0	152.541	complete
22185	23525	-	0	226.57	complete
23525	24703	-	0	170.719	complete
24703	26652	-	0	344.208	complete
26759	27580	-	0	124.111	complete
27587	28498	-	0	132.652	complete
28498	29961	-	0	238.939	complete
29961	31400	-	0	241.442	complete
31800	34283	-	0	409.826	complete
34382	35350	-	0	121.296	complete
35337	35852	-	0	62.9916	complete
35933	36637	-	0	69.4831	complete
36728	37696	+	0	109.768	complete
37666	38598	-	0	115.482	complete
38636	38830	-	0	1.38046	complete
38831	40657	-	0	248.505	complete
40650	41450	-	0	119.11	complete
41612	42358	+	0	77.9575	complete
42473	43951	+	0	156.427	complete
43948	45099	+	0	151.169	complete
45089	46609	+	0	220.028	complete
46685	47269	-	0	66.878	complete
47412	48584	+	0	123.848	complete
48826	61122	+	0	1778.24	complete
61115	66853	+	0	755.964	complete
66850	70017	+	0	404.966	complete
70259	72829	+	0	255.036	complete
72898	73854	-	0	92.5475	complete
73923	82499	-	0	1083.44	complete
82499	85831	-	0	355.639	complete
85832	91216	-	0	717.529	complete
91181	91531	+	0	16.376	complete
91730	93667	+	0	87.3052	complete
93842	95491	-	0	300.926	complete
95630	96508	-	0	129.183	complete
96537	97808	-	0	212.101	complete
97805	99262	-	0	225.36	complete
99410	101038	+	0	176.69	complete
101122	102525	-	0	218.438	complete
102533	104506	-	0	321.202	complete
104507	105679	-	0	171.107	complete
106067	107404	+	0	214.119	complete
107632	108420	+	0	106.707	complete
108747	109373	+	0	87.5113	complete
109375	113013	+	0	488.886	complete
113145	113579	+	0	48.9996	complete
113581	114384	-	0	131.79	complete
114499	115413	-	0	119.623	complete
115410	115769	-	0	37.2442	complete
115769	117709	-	0	341.961	complete
118283	118657	+	0	38.0175	complete
118770	120260	+	0	40.8385	complete
120647	121219	+	0	16.7837	complete
121361	122119	+	0	154.346	complete
122267	122851	-	0	93.679	complete
122925	124733	-	0	314.986	complete
125047	137499	+	0	1853.74	complete
137656	139212	+	0	252.166	complete
139218	140570	+	0	206.24	complete
140885	141319	+	0	64.8993	complete
141346	142734	-	0	184.001	complete
142712	143395	-	0	123.935	complete
143790	144677	+	0	107.19	complete
144820	145725	-	0	148.892	complete
145965	147902	+	0	247.377	complete
148051	148944	+	0	155.373	complete
148941	149735	+	0	105.892	complete
149790	151700	+	0	305.287	complete
151720	152730	+	0	149.312	complete
152890	153936	+	0	144.033	complete
154304	155239	+	0	165.126	complete
155302	156840	+	0	256.602	complete
156861	157898	+	0	159.802	complete
158326	158730	+	0	45.0032	complete
158832	159086	+	0	10.747	complete
159112	159315	+	0	20.211	complete
159323	159571	-	0	29.74	complete
159629	159895	-	0	4.96567	complete
160286	160735	+	0	51.0631	complete
160735	160932	+	0	7.18353	complete
160947	162065	+	0	150.677	complete
162135	164249	-	0	354.161	complete
164345	164734	-	0	25.4568	complete
164825	165262	+	0	30.5342	complete
165400	165768	-	0	52.445	complete
165765	166043	-	0	55.7304	complete
166040	166528	-	0	74.8276	complete
166525	168207	-	0	260.3	complete
168204	168548	-	0	69.3411	complete
168548	171475	-	0	430.691	complete
171667	172566	-	0	123.347	complete
172659	173222	+	0	83.2897	complete
174620	175132	+	0	87.5524	complete
175143	176177	+	0	167.313	complete
176174	177607	+	0	240.058	complete
177683	179056	+	0	228.78	complete
179134	180009	-	0	119.728	complete
180147	181325	-	0	220.647	complete
181521	182456	+	0	130.477	complete
182858	184282	+	0	227.651	complete
184423	185745	+	0	241.756	complete
185747	186964	+	0	201.352	complete
187044	188660	+	0	247.245	complete
189081	191246	+	0	361.323	complete
191251	192597	+	0	161.603	complete
192628	193632	+	0	149.572	complete
193620	195011	+	0	268.462	complete
195198	196142	+	0	133.922	complete
196180	197190	+	0	146.087	complete
197369	198436	+	0	167.519	complete
198482	198751	-	0	22.0892	complete
198753	200291	-	0	226.815	complete
200288	200575	-	0	33.4645	complete
200786	202126	-	0	172.968	complete
202123	202842	-	0	111.556	complete
203088	203909	-	0	107.149	complete
203906	205492	-	0	201.723	complete
205653	207389	-	0	238.933	complete
207386	209206	-	0	232.65	complete
209356	209847	+	0	68.2798	complete
209966	210376	-	0	57.6524	complete
210514	211419	-	0	103.356	complete
211618	212574	+	0	170.045	complete
212571	213671	+	0	193.243	complete
213668	214441	+	0	119.999	complete
214434	215150	+	0	113.474	complete
215235	216374	+	0	176.191	complete
216548	217051	+	0	87.3305	complete
217048	218283	+	0	167.329	complete
218337	219704	-	0	155.023	complete
219718	221049	-	0	195.402	complete
221298	222290	+	0	112.472	complete
222348	223136	-	0	76.9054	complete
223188	224219	+	0	160.961	complete
224307	225482	+	0	157.046	complete
225546	228065	-	0	425.302	complete
228100	229059	-	0	140.089	complete
229056	229562	-	0	70.2736	complete
230244	231020	-	0	70.0473	complete
231256	232500	-	0	212.658	complete
232530	233627	-	0	195.257	complete
233892	236195	+	0	300.326	complete
236411	237568	-	0	153.35	complete
237704	238249	+	0	50.5501	complete
238374	238991	+	0	71.7878	complete
238966	239241	-	0	27.6694	complete
239320	240069	-	0	79.3492	complete
240114	240812	-	0	75.5784	complete
241006	242415	+	0	171.491	complete
242685	243068	+	0	11.9158	complete
243059	244192	-	0	52.7819	complete
244222	244743	-	0	11.3935	complete
245282	246442	-	0	147.382	complete
246432	247247	-	0	83.1928	complete
247380	247679	+	0	1.76195	complete
247690	248181	-	0	56.6914	complete
248380	249480	+	0	96.5815	complete
249647	251506	+	0	237.86	complete
251615	252406	-	0	70.9566	complete
252530	253132	-	0	83.272	complete
253246	254859	+	0	237.443	complete
254852	255184	-	0	42.5254	complete
255378	255848	+	0	52.7911	complete
255987	256457	-	0	76.1424	complete
256457	257062	-	0	107.477	complete
257343	257834	+	0	64.6953	complete
257917	259239	+	0	175.072	complete
259226	260611	+	0	212.133	complete
260706	261542	-	0	117.411	complete
261542	262438	-	0	134.329	complete
262435	263991	-	0	204.451	complete
264291	265289	+	0	138.174	complete
265616	266893	+	0	165.528	complete
267041	267535	+	0	60.2392	complete
267665	268171	+	0	12.5995	complete
268259	269731	+	0	179.052	complete
270037	272562	+	0	375.446	complete
272696	274039	+	0	186.615	complete
274042	274944	+	0	82.1627	complete
274941	276239	+	0	199.003	complete
276269	277972	+	0	280.86	complete
278120	279235	-	0	138.943	complete
279607	280662	+	0	139.39	complete
280678	283053	+	0	433.992	complete
283092	287561	-	0	467.182	complete
287797	292554	-	0	563.726	complete
292791	293090	+	0	31.711	complete
293083	294252	+	0	153.609	complete
294408	294587	+	0	17.4636	complete
294616	295230	-	0	68.3039	complete
295227	298865	-	0	508.714	complete
298862	300103	-	0	193.549	complete
300453	302093	-	0	228.062	complete
302090	303820	-	0	233.829	complete
303817	304905	-	0	156.159	complete
304898	305392	-	0	64.5604	complete
305389	306321	-	0	133.384	complete
306327	307286	-	0	161.463	complete
307486	307881	-	0	59.7186	complete
308284	313143	+	0	841.28	complete
313338	314015	-	0	72.7281	complete
314031	314732	-	0	117.821	complete
314871	316181	-	0	210.941	complete
316414	317043	+	0	52.1671	complete
317099	317506	-	0	54.6615	complete
317591	319024	-	0	225.6	complete
319185	319628	+	0	60.1966	complete
319646	320413	-	0	128.658	complete
320435	321502	-	0	207.31	complete
321632	322585	-	0	137.463	complete
322706	322903	-	0	6.01528	complete
323177	324454	+	0	182.299	complete
324495	325073	-	0	51.2659	complete
325102	325827	-	0	107.284	complete
325947	327227	-	0	96.0217	complete
327244	328137	-	0	108.268	complete
328453	331077	-	0	372.95	complete
331039	331290	+	0	4.20487	complete
331458	331928	+	0	65.7604	complete
332062	332925	-	0	135.491	complete
333083	333685	+	0	96.6797	complete
333847	334554	+	0	104.471	complete
334559	335839	+	0	180.365	complete
335906	336697	-	0	106.459	complete
336880	337065	+	0	9.75686	complete
337055	338341	-	0	182.728	complete
338486	340210	+	0	291.994	complete
340650	341627	+	0	89.5238	complete
341624	341869	-	0	7.063	complete
341959	342918	-	0	79.1772	complete
342970	343293	-	0	26.8224	complete
343342	344082	-	0	61.1333	complete
344167	344421	-	0	15.3519	complete
344781	345203	-	0	27.0546	complete
345617	346123	-	0	34.8449	complete
346315	347949	-	0	71.798	complete
348008	348235	-	0	17.9018	complete
348389	348859	-	0	50.0663	complete
348856	349098	-	0	22.8991	complete
349095	349739	-	0	53.5111	complete
349736	350656	-	0	81.0432	complete
350664	351860	-	0	122.944	complete
351891	352085	+	0	1.99803	complete
352204	352578	-	0	26.2367	complete
352575	352772	-	0	13.2964	complete
352769	353314	-	0	37.8992	complete
353457	353693	-	0	22.8854	complete
353690	353977	-	0	30.7353	complete
353999	354259	-	0	23.6025	complete
354279	354524	-	0	6.24145	complete
354546	354743	-	0	14.501	complete
354820	355011	-	0	0.432664	complete
355422	355628	-	0	20.8717	complete
355633	355845	-	0	17.6668	complete
356344	357069	-	0	43.9598	complete
357179	357406	+	0	17.6259	complete
357436	357624	+	0	18.2927	complete
357959	358807	+	0	71.2313	complete
358804	359127	+	0	22.2956	complete
359124	359570	+	0	28.5545	complete
359570	360349	+	0	74.4523	complete
360330	361103	+	0	80.9918	complete
361103	361291	+	0	4.78395	complete
361446	361733	+	0	41.5666	complete
361730	362659	+	0	114.142	complete
362656	363132	+	0	42.8126	complete
363129	363545	+	0	50.7972	complete
363548	364225	+	0	11.1345	complete
364222	364809	+	0	27.555	complete
364806	365483	+	0	56.8517	complete
365486	365782	+	0	5.46676	complete
366134	366463	+	0	8.04622	complete
366467	367087	+	0	57.6673	complete
367084	367341	+	0	30.5825	complete
367353	367832	+	0	48.1617	complete
367856	368077	+	0	12.9922	complete
368074	368262	+	0	9.36804	complete
368259	368732	+	0	54.9468	complete
368698	369321	+	0	31.8064	complete
369353	369829	+	0	53.398	complete
369804	372035	+	0	96.8292	complete
372038	373414	+	0	154.606	complete
373415	374530	+	0	96.1939	complete
374685	375422	+	0	91.4422	complete
375432	376400	+	0	130.494	complete
376450	376749	+	0	46.9828	complete
376749	377123	+	0	30.5718	complete
377125	377511	+	0	44.4617	complete
377607	377900	+	0	4.27546	complete
377900	378304	+	0	3.22209	complete
378366	379535	+	0	149.409	complete
379560	380108	+	0	23.403	complete
380420	384538	+	0	172.084	complete
384535	384990	+	0	28.9772	complete
384987	385514	+	0	18.1723	complete
385636	385920	+	0	17.2752	complete
385917	388625	+	0	120.543	complete
388790	389050	-	0	2.5018	complete
389384	389578	-	0	5.68147	complete
390164	390484	+	0	3.79007	complete
392119	392670	+	0	54.9889	complete
392667	393179	+	0	21.5708	complete
394221	394403	+	0	10.3177	complete
394805	395836	-	0	74.2494	complete
395991	396905	+	0	24.0934	complete
396992	397261	+	0	1.05273	complete
397412	398329	-	0	32.027	complete
398396	399013	+	0	28.1429	complete
399583	400191	+	0	75.9265	complete
400522	400827	+	0	35.4042	complete
402886	403101	-	0	3.63738	complete
403836	404195	-	0	20.4012	complete
404182	404376	-	0	2.56096	complete
404484	405158	+	0	87.683	complete
405151	406470	+	0	175.279	complete
406665	407453	+	0	50.7067	complete
407522	407878	+	0	12.1642	complete
408084	408377	+	0	10.7841	complete
408630	408896	+	0	4.66432	complete
409225	409623	+	0	22.5379	complete
411300	412445	+	0	86.6168	complete
412455	412847	+	0	28.6846	complete
412869	413687	+	0	84.7138	complete
413718	414329	-	0	88.2419	complete
414345	415523	-	0	127.2	complete
415642	417888	+	0	339.714	complete
418196	418690	+	0	48.6209	complete
418790	419440	+	0	57.9916	complete
419462	422059	+	0	268.969	complete
422056	423111	+	0	81.2304	complete
423140	424312	+	0	132.962	complete
424457	425083	+	0	75.3512	complete
425083	427116	+	0	168.425	complete
427397	428611	+	0	124.41	complete
428634	429056	+	0	29.4038	complete
429126	429983	-	0	94.3319	complete
430172	431317	+	0	123.963	complete
431320	433506	-	0	298.797	complete
433592	434443	-	0	99.6591	complete
434524	435852	-	0	213.686	complete
436037	437230	-	0	176.346	complete
437343	438053	-	0	84.4489	complete
438108	439280	-	0	136.821	complete
439448	440353	+	0	106.29	complete
440381	441064	+	0	98.9555	complete
